week,amount,amount_exited,abs_amount_exited,net_value,cumsum
2023-04-10,94784,0,0,94784,368704
2023-04-17,2944,0,0,2944,371648
2023-04-24,7168,-32,32,7136,378784
2023-05-01,3072,-128,128,2944,381728
2023-05-08,5984,0,0,5984,387712
2023-05-15,11552,0,0,11552,399264
2023-05-22,160,-32,32,128,399392
2023-05-29,1248,0,0,1248,400640
2023-06-05,448,-32,32,416,401056
2023-06-12,160,0,0,160,401216
2023-06-19,1888,0,0,1888,403104
2023-06-26,11040,0,0,11040,414144
2023-07-03,6592,-64,64,6528,420672
2023-07-10,800,0,0,800,421472
2023-07-17,1600,0,0,1600,423072
2023-07-24,14304,-32,32,14272,437344
2023-07-31,4832,-192,192,4640,441984
2023-08-07,4960,-64,64,4896,446880
2023-08-14,9504,0,0,9504,456384
2023-08-21,3456,-96,96,3360,459744
2023-08-28,5536,0,0,5536,465280
2023-09-04,7264,-7168,7168,96,465376
2023-09-11,10656,-864,864,9792,475168
2023-09-18,15040,-512,512,14528,489696
2023-09-25,6720,-4768,4768,1952,491648
2023-10-02,22432,-15680,15680,6752,498400
2023-10-09,20448,-1792,1792,18656,517056
2023-10-16,21440,-10656,10656,10784,527840
2023-10-23,960,-1216,1216,-256,527584
2023-10-30,352,-2688,2688,-2336,525248
2023-11-06,4416,-992,992,3424,528672
2023-11-13,2240,-3680,3680,-1440,527232
2023-11-20,6592,-32,32,6560,533792
2023-11-27,14688,-1120,1120,13568,547360
2023-12-04,6912,-1824,1824,5088,552448
2023-12-11,21568,-6080,6080,15488,567936
2023-12-18,6016,-480,480,5536,573472
2023-12-25,3392,-288,288,3104,576576
2024-01-01,7648,0,0,7648,584224
2024-01-08,16832,-128,128,16704,600928
2024-01-15,11328,-32,32,11296,612224
2024-01-22,40544,-10400,10400,30144,642368
2024-01-29,49568,-9056,9056,40512,682880
2024-02-05,55360,-96,96,55264,738144
2024-02-12,54336,-896,896,53440,791584
2024-02-19,27200,-320,320,26880,818464
2024-02-26,25056,-320,320,24736,843200
2024-03-04,25952,-4288,4288,21664,864864
2024-03-11,3872,-58752,58752,-54880,809984
2024-03-18,66112,-3136,3136,62976,872960
2024-03-25,128960,-544,544,128416,1.001376e+06
2024-04-01,85440,-6304,6304,79136,1.080512e+06
2024-04-08,33632,-3712,3712,29920,1.110432e+06
2024-04-15,64800,-5344,5344,59456,1.169888e+06
2024-04-22,94048,-2080,2080,91968,1.261856e+06
2024-04-29,9856,-19712,19712,-9856,1.252e+06
2024-05-06,10976,-3392,3392,7584,1.259584e+06
2024-05-13,3808,-33728,33728,-29920,1.229664e+06
2024-05-20,10240,-6272,6272,3968,1.233632e+06
2024-05-27,4576,-1536,1536,3040,1.236672e+06
2024-06-03,2496,-1760,1760,736,1.237408e+06
2024-06-10,8960,-1856,1856,7104,1.244512e+06
2024-06-17,5728,-8800,8800,-3072,1.24144e+06
2024-06-24,13728,-4864,4864,8864,1.250304e+06
2024-07-01,46304,-208416,208416,-162112,1.088192e+06
2024-07-08,54624,-34048,34048,20576,1.108768e+06
2024-07-15,512,-7328,7328,-6816,1.101952e+06
